case_number,published_date,report_number,category,product,brand,name,model,production_dates,ec_type_approval,company_recall_code,risk_type,danger,risk_description,legal_provisions,measures,measures_economic_operators,description,notifying_country,country_of_origin,risk_level,reference_url,recall_website
A12/01862/22,,,Motor vehicles,Passenger car,Lexus,"Various models of GS, IS and RC","e11*2001/116*0206*16, e11*2001/116*0206*17, e11*2007/46*0150*06, e11*2007/46*0150*07, e11*2007/46*0152*11, e11*2007/46*2883*02, e11*2007/46*2883*03, e11*2007/46*2971*02, e11*2007/46*3641*01,   , e11*2001/116*0206*16, e11*2007/46*0150*06, e11*2007/46*2883*02, e6*2001/116*0106*08, e6*2001/116*0106*09, e6*2001/116*0106*10, e6*2001/116*0106*11, e6*2001/116*0106*12, e6*2001/116*0106*13, , e11*2007/46*2883*00, e11*2007/46*2883*01, e11*2001/116*0206*16, e11*2001/116*0206*17, e11*2007/46*0150*06, e11*2007/46*2883*00, e11*2007/46*2883*01, e11*2007/46*2883*02, e11*2007/46*2883*03,    , e11*2007/46*3641*01, e11*2007/46*3704*01, e6*2001/116*0106*13, e6*2007/46*0111*05, e6*2007/46*0111*06, e6*2007/46*0163*03, e6*2007/46*0166*03, e11*2007/46*1532*00,  e11*2007/46*1532*02, e11*2007/46*3704*00, e6*2001/116*0106*13, e6*2007/46*0111*05, e6*2007/46*0111*06, e6*2007/46*0163*02, e6*2007/46*0163*03, e6*2007/46*0166*03, e6*2007/46*0166*04, e6*2007/46*0195*00, e6*2007/46*0221*00, e6*2007/46*0035*00, e6*2007/46*0111*05, e6*2007/46*0221*00, e11*2001/116*0206*10, e11*2001/116*0206*11, e11*2001/116*0206*12, e11*2001/116*0206*13, e11*2001/116*0206*14, e11*2001/116*0206*15,",06.06.2014-22.08.2018; 25.05.2015-02.08.2018; 26.05.2015-7.08.2018; 18.09.2014-14.07.2016.18.10.2011-16.04.2018; 7.04.2015-24.05.2018; 24.10.2012-05.08.2015; 14.11.2012-03.082018; 24.07.2015-11.04.2018; 17.08.2015-17.04.2018; 24.07.2011-28.04.2015; 20.05.2013-16.04.2018; 20.07.2011-03.06.2016;,,22SMD-114,Fire,"Due to the improper design of the flange attaching the vent tube to the fuel tank, a stress-related crack could develop on the outer surface of the flange and expand over time. increasing the risk of fire.   The product does not comply with the Regulation on the approval and market surveillance of motor vehicles and their trailers, and of systems, components and separate technical units intended for such vehicles.",,,Type of economic operator taking notified measure(s): ImporterCategory of measure(s): Recall of the product from end usersDate of entry into force: Unknown,,"Model name (Model Code): GS F (URL10), GS200t / GS300 (ARL10), GS250 (GRL11), GS300h (AWL10), GS350 (GRL15 / GRL16), GS450h (GWL10), IS200t / IS300 (ASE30), IS250 (GSE30), IS300h (AVE30), RC F (USC10), RC200t / RC300 (ASC10), RC300h (AVC10), RC350 (GSC10); Model Year: 2011~2018.",Portugal,Japan,Serious risk,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/10007300,
A12/01861/22,,,Motor vehicles,Passenger car,Toyota,Avensis,e1*2001/116*0196*00; e11*2001/116*0196*01; e11*2001/116*0196*02; e11*2001/116*0196*03;  e11*2001/116*0196*04,21.08.2002 - 24.04.2006,,22SMD-115,Injuries,"The density of the propellant in the airbag inflator may be reduced due to high temperature cycling and moisture in the propellant and its sealed container. In the event of an accident this can lead to the release of fragments of the front airbag from the generator housing, increasing the risk of injury. The product does not comply with the Regulation on the approval and market surveillance of motor vehicles and their trailers, and of systems, components and separate technical units intended for such vehicles.",,,Type of economic operator taking notified measure(s): ImporterCategory of measure(s): Recall of the product from end usersDate of entry into force: Unknown,,"Passenger car, Model Code: ADT251, AZT250, AZT251, CDT250, ZZT250, ZZT251; Model Year: 2002~2006.",Portugal,United Kingdom,Serious risk,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/10007301,
A12/01834/22,,,Motor vehicles,Passenger car,Lamborghini,Countach,"834, e3*KS07/46*0075*",23.3.2022 - 27.7.2022,,L734-R.01.22,Injuries,"Due to the improper bonding of the glass, the window glass of the rear engine bonnet could become completely detached from the vehicle, thus posing a risk for the following traffic. The product does not comply with the Regulation on the approval and market surveillance of motor vehicles and their trailers, and of systems, components and separate technical units intended for such vehicles.",,,Type of economic operator taking notified measure(s): ManufacturerCategory of measure(s): Recall of the product from end usersDate of entry into force: Unknown,,Passenger car,Germany,Italy,Serious risk,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/10007346,
A12/01833/22,,,Motor vehicles,Passenger car,VW – Volkswagen,Polo,"AW, e1*2007/46*1783*",11.08.2021 - 23.09.2021,,66N3,Injuries,"Due to a manufacturing error the rear spoiler may not have been bonded to the tailgate. As a result the spoiler could detach, posing a risk to the following traffic.  The product does not comply with the Regulation on the approval and market surveillance of motor vehicles and their trailers, and of systems, components and separate technical units intended for such vehicles.",,,Type of economic operator taking notified measure(s): ManufacturerCategory of measure(s): Recall of the product from end usersDate of entry into force: Unknown,,Passenger car,Germany,South Africa,Serious risk,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/10007412,
A12/01835/22,,,Motor vehicles,Passenger car,Polestar,Polestar 1,e4*2007/46*1067*08 – e4*2007/46*1067*13,2020 - 2021,,R10202,Injuries,"High voltage battery cells can overheat when the battery is fully charged. This can lead to a thermal event inside the battery, increasing the risk of fire. The product does not comply with the Regulation on the approval and market surveillance of motor vehicles and their trailers, and of systems, components and separate technical units intended for such vehicles.",,,Type of economic operator taking notified measure(s): ImporterCategory of measure(s): Recall of the product from end usersDate of entry into force: Unknown,,Passenger car,Belgium,People's Republic of China,Serious risk,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/10007486,
A12/01825/22,,,Motor vehicles,Passenger car,Opel,Grandland X,"e2*2007/46*0628*17, e2*2007/46*0628*16",8.10.2019 - 23.11.2019,,O8G  (22-C-062),Fire,"Due to cell voltage deviation, a thermal event can occur inside the high-voltage battery, increasing the risk of fire. The product does not comply with the Regulation on the approval and market surveillance of motor vehicles and their trailers, and of systems, components and separate technical units intended for such vehicles.",,,Type of economic operator taking notified measure(s): ManufacturerCategory of measure(s): Recall of the product from end usersDate of entry into force: 21/07/2022,,Passenger car,France,France,Serious risk,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/10007494,
A12/01781/22,,,Motor vehicles,Passenger car,Suzuki,"Swift, Swift Sports, Baleno, Vitara, S-Cross","e4*2007/46*0779*04 - e4*2007/46*0779*15;, e4*2007/46*0928*02 - e4*2007/46*0928*11;, e4*2007/46*0928*05;, e4*2007/46*1205*00 - e4*2007/46*1205*03;, e4*2007/46*1205*01 - e4*2007/46*1205*12;, e6*2007/46*0177*01 - e6*2007/46*0177*03;",2015-2022,,97G5,Injuries,"Due to the swelling of the valve in the vacuum pump, the negative pressure of the brake boosters can be temporarily blocked. Consequently, even if the braking system remains functional, the brake pedal must be pressed hard, increasing the risk of an accident. The product does not comply with the Regulation on the approval and market surveillance of motor vehicles and their trailers, and of systems, components and separate technical units intended for such vehicles.",,,Type of economic operator taking notified measure(s): ImporterCategory of measure(s): Recall of the product from end usersDate of entry into force: 23/11/2022,,Passenger car,Bulgaria,Japan,Serious risk,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/10007366,
A12/01733/22,,,Motor vehicles,Passenger car,Bmw,Series 2 Active Tourer,"U2AT, e1*2018/858*00117*",07.07.2022 - 27.09.2022,,0051530500,Injuries,"A door may open involuntarily in the event of a side collision, increasing the risk of injury to vehicle occupants in the event of a second impact or subsequent rollover. The product does not comply with the Regulation on the approval and market surveillance of motor vehicles and their trailers, and of systems, components and separate technical units intended for such vehicles.",,,Type of economic operator taking notified measure(s): ManufacturerCategory of measure(s): Recall of the product from end usersDate of entry into force: Unknown,,Passenger car,Germany,Germany,Serious risk,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/10007260,
A12/01743/22,,,Motor vehicles,Passenger car,Mercedes-Benz,GLS,"H1GLE, e1*2007/46*1885*03-*17",27.11.2017 - 20.07.2022,,9391001,Injuries,"The locking mechanism of the third row of seats may malfunction, which increases the risk of injury in the event of an accident. The product does not comply with the Regulation on the approval and market surveillance of motor vehicles and their trailers, and of systems, components and separate technical units intended for such vehicles.",,,Type of economic operator taking notified measure(s): ManufacturerCategory of measure(s): Recall of the product from end usersDate of entry into force: Unknown,,Passenger car,Germany,Germany,Serious risk,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/10007278,
A12/01718/22,,,Motor vehicles,Passenger car,Bmw,"3 Series (G20, G21), M3 (G80)","G3L, G3K, G234M, e1*2007/46*1947*, e1*2007/46*2017*, e1*2018/858*00003*",12.09.2022,,0072470200,Injuries,"The front safety belt on the left side may be faulty. This can increase the risk of injury in the event of an accident. The product does not comply with the requirements laid down in the Regulation on the approval and market surveillance of motor vehicles and their trailers, and of systems, components and separate technical units intended for such vehicles.",,,Type of economic operator taking notified measure(s): ManufacturerCategory of measure(s): Recall of the product from end usersDate of entry into force: Unknown,,Passenger car,Germany,Germany,Serious risk,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/10007116,
A12/01717/22,,,Motor vehicles,Passenger car,Bmw,"5 Series Limousine, 5 Series Touring, M5","G5L, G5K, F5LM, e1*2007/46*1688*, e1*2007/46*1750*, e1*2007/46*1828*",23.6.2022 - 24.6.2022,,0052060200,Injuries,"Due to improper installation of the seat belts, the restraint function may be impaired, increasing the risk of injury in the event of an accident. The product does not comply with the Regulation on the approval and market surveillance of motor vehicles and their trailers, and of systems, components and separate technical units intended for such vehicles.",,,Type of economic operator taking notified measure(s): ManufacturerCategory of measure(s): Recall of the product from end usersDate of entry into force: Unknown,,Passenger car,Germany,Germany,Serious risk,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/10007149,
A12/01716/22,,,Motor vehicles,Passenger car,Ford,Kuga,"DFK, e13*2007/46*2188*02-*07",14.11.2019 - 30.4.2021,,22S63,Injuries,"Due to improper fitting, the seat belt retention function may not be effective, increasing the risk of injury in the event of an accident. The product does not comply with the Regulation on the approval and market surveillance of motor vehicles and their trailers, and of systems, components and separate technical units intended for such vehicles.",,,Type of economic operator taking notified measure(s): ManufacturerCategory of measure(s): Recall of the product from end usersDate of entry into force: Unknown,,Passenger car,Germany,Spain,Serious risk,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/10007153,
